,bill_id,long_title_x,bill_status,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,num,congress,long_title_y,date_filed,scope,status,author,date_lastUpdate,passed,Full Name Primary Author,Party,Bloc,Years of Service,num_authors,delta_days,upper,mon,quarter,scope_national,majority_bloc,len_desc
10,17SBN-2133,"['authority', 'area', 'area']",Passed,0,0,1,0,0,0,0,0,1,0,SBN-2133,17,"an act further strengthening the powers and functions of the authority of the freeport area of bataan (afab), amending for this purpose republic act no. 9728, otherwise known as the freeport area of bataan (fab) act of 2009",12/11/18,National,Approved by the President of the Philippines,"Gordon, Richard J., Gatchalian, Sherwin T.",6/30/19,True,Richard Gordon,Independent,Majority,15,2,201,False,12,4,True,True,223
11,17SBN-2127,"['gross', 'international', 'internal', 'revenue']",Passed,0,0,0,1,0,0,0,0,1,0,SBN-2127,17,"an act to strengthen the country's gross international reserves (gir), amending for the purpose sections 32 and 151 of the national internal revenue code, as amended, and for other purposes",12/4/18,National,Approved by the President of the Philippines,"Angara, Juan Edgardo ""Sonny"" M.",3/29/19,True,Eduardo Angara,LDP,Majority,15,1,115,False,12,4,True,True,189
12,17SBN-2121,['poor'],Passed,0,0,0,0,0,0,0,0,0,0,SBN-2121,17,an act providing for a magna carta of the poor,12/3/18,National,Approved by the President of the Philippines,"Legarda, Loren B., Trillanes, Antonio ""Sonny"" F., Aquino IV, Paolo Benigno ""Bam"", Angara, Juan Edgardo ""Sonny"" M., De Lima, Leila M., Ejercito, Joseph Victor G., Zubiri, Juan Miguel F., Villanueva, Joel",4/12/19,True,Loren Legarda,NPC,Majority,21,8,130,False,12,4,True,True,46
13,17SBN-2098,"['continuous', 'uninterrupted', 'transmission', 'distribution', 'electricity', 'protection', 'integrity', 'reliability', 'power']",Passed,0,1,0,0,1,1,0,0,1,0,SBN-2098,17,"an act ensuring the continuous and uninterrupted transmission and distribution of electricity and the protection of the integrity and reliability of power lines, and providing penalties for violations thereof",11/15/18,National,Approved by the President of the Philippines,"Gatchalian, Sherwin T.",6/30/19,True,Win Gatchalian,NPC,Majority,3,1,227,False,11,4,True,True,208
14,17SBN-2081,"['amnesty', 'rectification', 'birth', 'administrative', 'adoption']",Passed,0,0,0,0,0,0,0,0,0,0,SBN-2081,17,"an act granting amnesty for simulated births, allowing the rectification of simulated birth records through administrative adoption and for other purposes",10/22/18,National,Consolidated with Approved Bill,"Poe, Grace L., Hontiveros, Risa, De Lima, Leila M.",2/21/19,True,Grace Poe,Independent,Majority,6,3,122,False,10,4,True,True,154
15,17SBN-2065,"['judiciary', 'reorganization']",Passed,0,0,0,0,0,0,0,1,0,0,SBN-2065,17,"an act creating the positions for judges-at-large, amending for the purpose batas pambansa bilang 129, otherwise known as 'the judiciary reorganization act of 1980,' and appropriating funds therefor",10/10/18,National,Approved by the President of the Philippines,"Angara, Juan Edgardo ""Sonny"" M., Gatchalian, Sherwin T., Gordon, Richard J., Legarda, Loren B., Villanueva, Joel, Binay, Maria Lourdes Nancy S., Hontiveros, Risa, Zubiri, Juan Miguel F., Drilon, Franklin M.",6/30/19,True,Eduardo Angara,LDP,Majority,15,9,263,False,10,4,True,True,198
16,17SBN-2063,"['strengthening', 'development', 'authority', 'development', 'authority']",Passed,0,0,0,0,0,0,1,0,1,1,SBN-2063,17,"an act strengthening and reorganizing the cooperative development authority, repealing for the purpose republic act no. 6939, creating the cooperative development authority",10/9/18,National,Approved by the President of the Philippines,"Zubiri, Juan Miguel F., Aquino IV, Paolo Benigno ""Bam"", Angara, Juan Edgardo ""Sonny"" M., Gordon, Richard J., Ejercito, Joseph Victor G., Pacquiao, Emmanuel ""Manny"" D., Honasan II, Gregorio B., Gatchalian, Sherwin T.",6/30/19,True,Juan Miguel Zubiri,PDP_Laban,Majority,12,8,264,False,10,4,True,True,172
17,17SBN-2062,"['bed', 'capacity', 'mental', 'hospital', 'hundred', 'operation', 'level', 'general', 'ward', 'bed', 'capacity', 'mental', 'wellness', 'general', 'hospital']",Passed,0,0,0,0,0,0,0,0,0,0,SBN-2062,17,"an act increasing the bed capacity of the mariveles mental hospital in mariveles, bataan from five hundred (500) beds to seven hundred (700) beds, upgrading its services, to include the operation of a level 1 general ward with 100 bed capacity, to be known as the mariveles mental wellness and general hospital and appropriating funds therefor",10/9/18,Local,Approved by the President of the Philippines,"Ejercito, Joseph Victor G.",4/12/19,True,JV Ejercito,NPC,Majority,6,1,185,False,10,4,False,True,343
18,17SBN-2059,"['revenue', 'administration', 'collection', 'tax', 'base', 'amnesty', 'unpaid', 'internal', 'revenue', 'taxable', 'prior', 'respect', 'estate', 'tax', 'internal', 'revenue', 'tax', 'border', 'tax', 'evasion']",Passed,1,0,0,1,0,0,0,0,0,0,SBN-2059,17,"an act enhancing revenue administration and collection, and broadening the tax base by granting an amnesty on all unpaid internal revenue taxes imposed by the national government for taxable year 2017 and prior years with respect to estate tax, other internal revenue taxes, and tax on delinquencies and addressing cross- border tax evasion and for other purposes",10/9/18,National,Consolidated with Approved Bill,"Pimentel, Aquilino Koko III L., Binay, Maria Lourdes Nancy S., Recto, Ralph G., Angara, Juan Edgardo ""Sonny"" M., Aquino IV, Paolo Benigno ""Bam"", Ejercito, Joseph Victor G.",2/14/19,True,Koko Pimentel,PDP_Laban,Majority,9,6,128,False,10,4,True,True,363
19,17SBN-2031,"['rank', 'classification', 'police', 'department', 'interior', 'local']",Passed,0,0,0,0,0,1,1,0,1,0,SBN-2031,17,"an act providing for the rank classification in the philippine national police, amending for the purpose section 28 of republic act no. 6975, as amended, otherwise known as the 'department of the interior and local government act of 1990'",9/25/18,National,Approved by the President of the Philippines,"Lacson, Panfilo M., Poe, Grace L., Angara, Juan Edgardo ""Sonny"" M., Villanueva, Joel",2/8/19,True,Panfilo Lacson,Independent,Majority,18,4,136,False,9,3,True,True,238
20,17SBN-2023,"['special', 'protection', 'armed', 'conflict']",Passed,0,1,1,0,1,1,0,0,0,0,SBN-2023,17,an act providing special protection of children in situations of armed conflict and providing penalties thereof,9/20/18,National,Consolidated with Approved Bill,"Sotto III, Vicente C., Villanueva, Joel, Ejercito, Joseph Victor G., Poe, Grace L., Hontiveros, Risa, Binay, Maria Lourdes Nancy S., Honasan II, Gregorio B., Legarda, Loren B., De Lima, Leila M., Gordon, Richard J.",1/10/19,True,Tito Sotto III,NPC,Majority,27,10,112,False,9,3,True,True,111
21,17SBN-1998,"['quantitative', 'import', 'rice', 'quantitative', 'export', 'rice', 'rice', 'competitiveness', 'enhancement']",Passed,0,0,0,0,0,0,0,0,0,0,SBN-1998,17,"an act replacing the quantitative import restrictions on rice with tariffs, lifting the quantitative export restrictions on rice, and creating the rice competitiveness enhancement fund, amending for the purpose republic act no. 8178, as amended by republic act no. 9496, and as further amended by republic act no. 10848, and for other purposes",9/11/18,National,Approved by the President of the Philippines,"Recto, Ralph G., De Lima, Leila M., Villanueva, Joel, Hontiveros, Risa, Gatchalian, Sherwin T., Poe, Grace L., Villar, Cynthia A., Pacquiao, Emmanuel ""Manny"" D.",2/14/19,True,Ralph Recto,Nacionalista,Majority,18,8,156,False,9,3,True,True,343
22,17SBN-1985,"['fair', 'election']",Passed,0,0,0,0,0,0,1,0,0,0,SBN-1985,17,"an act amending section 11 of republic act no. 9006, otherwise known as the 'fair election act'",9/5/18,National,Consolidated with Approved Bill,"Zubiri, Juan Miguel F., Pimentel, Aquilino Koko III L., Gordon, Richard J., Villar, Cynthia A.",2/14/19,True,Juan Miguel Zubiri,PDP_Laban,Majority,12,4,162,False,9,3,True,True,95
23,17SBN-1983,"['space', 'development', 'utilization', 'space', 'agency']",Passed,0,0,0,0,0,0,1,0,1,1,SBN-1983,17,"an act establishing the philippine space development and utilization policy and creating the philippine space agency, and for other purposes",9/5/18,National,Approved by the President of the Philippines,"Aquino IV, Paolo Benigno ""Bam"", Legarda, Loren B., Sotto III, Vicente C., Angara, Juan Edgardo ""Sonny"" M.",6/30/19,True,Bam Aquino,Liberal,Minority,6,4,298,False,9,3,True,False,140
24,17SBN-1971,"['special', 'protection', 'child', 'motor']",Passed,0,1,1,0,1,1,0,0,0,0,SBN-1971,17,an act providing for the special protection of child passengers in motor vehicles and providing appropriations thereof,8/30/18,National,Approved by the President of the Philippines,"Ejercito, Joseph Victor G., Recto, Ralph G., Poe, Grace L., Villanueva, Joel, Gatchalian, Sherwin T., Hontiveros, Risa, Angara, Juan Edgardo ""Sonny"" M., Binay, Maria Lourdes Nancy S., Sotto III, Vicente C., Zubiri, Juan Miguel F., Gordon, Richard J., Drilon, Franklin M., Trillanes, Antonio ""Sonny"" F.",2/22/19,True,JV Ejercito,NPC,Majority,6,13,176,False,8,3,True,True,118
25,17SBN-1968,"['bed', 'capacity', 'memorial', 'medical', 'center', 'city', 'service', 'professional', 'health', 'care', 'therein']",Passed,1,0,0,0,0,1,1,1,0,1,SBN-1968,17,"an act increasing the bed capacity of the amang rodriguez memorial medical center in the city of marikina from three hundred (300) to five hundred (500) beds, upgrading the service facilities and professional health care therein, and appropriating funds therefor",8/30/18,Local,Approved by the President of the Philippines,"Ejercito, Joseph Victor G.",4/12/19,True,JV Ejercito,NPC,Majority,6,1,225,False,8,3,False,True,262
26,17SBN-1966,"['bed', 'capacity', 'medical', 'center', 'city', 'hundred']",Passed,0,0,0,0,0,1,0,1,0,1,SBN-1966,17,"an act increasing the bed capacity of valenzuela medical center in the city of valenzuela, from two hundred (200) to five hundred (500) beds, and appropriating funds therefor",8/30/18,Local,Approved by the President of the Philippines,"Ejercito, Joseph Victor G.",4/17/19,True,JV Ejercito,NPC,Majority,6,1,230,False,8,3,False,True,174
27,17SBN-1965,"['bed', 'capacity', 'southern', 'medical', 'center', 'city', 'professional', 'health', 'care', 'increase', 'medical', 'personnel']",Passed,1,1,0,0,0,1,1,1,0,1,SBN-1965,17,"an act increasing the bed capacity of the southern philippines medical center in davao city from one thousand two hundred (1,200) to one thousand five hundred (1,500) beds, upgrading its professional health care services and facilities, authorizing the increase of its medical personnel, and appropriating funds therefor",8/30/18,Local,Approved by the President of the Philippines,"Ejercito, Joseph Victor G.",4/17/19,True,JV Ejercito,NPC,Majority,6,1,230,False,8,3,False,True,320
28,17SBN-1963,"['central', 'sanitarium', 'city', 'tertiary', 'level', 'hospital', 'capacity', 'general', 'care', 'hundred']",Passed,1,0,0,0,0,0,1,1,0,0,SBN-1963,17,"an act upgrading the mindanao central sanitarium in pasobolong, zamboanga city into a tertiary level hospital, increasing its bed capacity for general care services to three hundred (300), and appropriating funds therefor",8/30/18,Local,Approved by the President of the Philippines,"Ejercito, Joseph Victor G.",4/17/19,True,JV Ejercito,NPC,Majority,6,1,230,False,8,3,False,True,221
29,17SBN-1961,"['bed', 'capacity', 'tertiary', 'general', 'health', 'care', 'n', 'memorial', 'hospital', 'sanitarium', 'city', 'hundred', 'n', 'memorial', 'hospital', 'sanitarium', 'tertiary', 'general', 'health', 'care']",Passed,1,0,0,0,0,0,1,1,0,0,SBN-1961,17,"an act increasing the bed capacity for tertiary general health care of the dr. jose n. rodriguez memorial hospital and sanitarium in tala, caloocan city from two hundred (200) to eight hundred (800) beds, and appropriating funds therefor, amending for the purpose republic act no. 9420, entitled ‘an act converting two hundred (200) beds of the 2,000-bed dr. jose n. rodriguez memorial hospital and sanitarium for tertiary general health care, appropriating funds therefor’ and for other purposes",8/30/18,Local,Approved by the President of the Philippines,"Ejercito, Joseph Victor G.",4/12/19,True,JV Ejercito,NPC,Majority,6,1,225,False,8,3,False,True,496
30,17SBN-1950,"['electricity', 'net', 'share', 'natural', 'gas', 'project', 'payment', 'contract', 'power', 'corporation']",Passed,0,0,0,0,0,0,0,0,0,1,SBN-1950,17,an act reducing electricity rates by allocating the net national government share from the malampaya natural gas project for the payment of the stranded contract costs and stranded debts of the national power corporation,8/28/18,National,Approved by the President of the Philippines,"Recto, Ralph G., Gatchalian, Sherwin T., Ejercito, Joseph Victor G., Angara, Juan Edgardo ""Sonny"" M.",6/30/19,True,Ralph Recto,Nacionalista,Majority,18,4,306,False,8,3,True,True,220
31,17SBN-1898,"['department', 'interior', 'local']",Passed,0,0,0,0,0,1,1,0,0,0,SBN-1898,17,"an act amending sections 66 and 67 of republic act no. 6975, otherwise known as the department of the interior and local government act of 1990, appropriating funds therefor and for other purposes",7/31/18,National,Consolidated with Approved Bill,"Trillanes, Antonio ""Sonny"" F., Villanueva, Joel, Escudero, Francis ""Chiz"" G., Lacson, Panfilo M., Legarda, Loren B., Sotto III, Vicente C., Zubiri, Juan Miguel F., Poe, Grace L., Angara, Juan Edgardo ""Sonny"" M., Ejercito, Joseph Victor G., Gatchalian, Sherwin T., Pacquiao, Emmanuel ""Manny"" D., Binay, Maria Lourdes Nancy S., Honasan II, Gregorio B., Hontiveros, Risa",4/12/19,True,Antonio Trillanes IV,Nacionalista,Minority,12,15,255,False,7,3,True,False,196
32,17SBN-1896,"['universal', 'health', 'care', 'health', 'care', 'system']",Passed,1,0,0,0,1,0,1,0,0,0,SBN-1896,17,"an act instituting universal health care for all filipinos, prescribing reforms in the health care system, appropriating funds therefor, and for other purposes",7/30/18,National,Approved by the President of the Philippines,"Recto, Ralph G., Ejercito, Joseph Victor G., Binay, Maria Lourdes Nancy S., De Lima, Leila M., Villar, Cynthia A., Angara, Juan Edgardo ""Sonny"" M., Hontiveros, Risa, Villanueva, Joel, Gatchalian, Sherwin T., Pacquiao, Emmanuel ""Manny"" D., Sotto III, Vicente C., Drilon, Franklin M., Zubiri, Juan Miguel F.",2/20/19,True,Ralph Recto,Nacionalista,Majority,18,13,205,False,7,3,True,True,159
33,17SBN-1850,"['cancer', 'control']",Passed,0,0,0,0,0,0,0,0,0,0,SBN-1850,17,an act institutionalizing a national integrated cancer control program and appropriating funds therefor,5/31/18,National,Approved by the President of the Philippines,"Ejercito, Joseph Victor G., Binay, Maria Lourdes Nancy S., Angara, Juan Edgardo ""Sonny"" M., Villanueva, Joel, De Lima, Leila M., Legarda, Loren B., Trillanes, Antonio ""Sonny"" F., Recto, Ralph G., Poe, Grace L., Villar, Cynthia A., Aquino IV, Paolo Benigno ""Bam"", Drilon, Franklin M., Gatchalian, Sherwin T., Gordon, Richard J., Honasan II, Gregorio B., Hontiveros, Risa, Lacson, Panfilo M., Pacquiao, Emmanuel ""Manny"" D., Pangilinan, Francis N., Pimentel, Aquilino Koko III L., Sotto III, Vicente C., Zubiri, Juan Miguel F.",2/14/19,True,JV Ejercito,NPC,Majority,6,22,259,False,5,2,True,True,103
34,17SBN-1843,"['seal', 'good', 'local', 'governance', 'local', 'seal', 'good', 'local', 'governance']",Passed,0,0,0,0,0,0,1,0,0,0,SBN-1843,17,"an act establishing and institutionalizing the seal of good local governance for local government units, and allocating for this purpose the seal of good local governance fund",5/31/18,National,Approved by the President of the Philippines,"Angara, Juan Edgardo ""Sonny"" M., Legarda, Loren B., Gatchalian, Sherwin T.",4/12/19,True,Eduardo Angara,LDP,Majority,15,3,316,False,5,2,True,True,175
35,17SBN-1840,"['additional', 'branch', 'regional', 'trial', 'court', 'district', 'paragraph', 'j', 'judiciary', 'reorganization']",Passed,0,0,0,0,0,0,0,1,0,0,SBN-1840,17,"an act creating an additional branch of regional trial court in the 3rd district of zamboanga del norte, to be stationed in the municipality of liloy, amending for the purpose, section 14, paragraph (j) of batas pambansa blg. 129, otherwise known as the ‘judiciary reorganization act of 1980’ and appropriating funds therefor",5/30/18,National,Approved by the President of the Philippines,"Zubiri, Juan Miguel F.",6/30/19,True,Juan Miguel Zubiri,PDP_Laban,Majority,12,1,396,True,5,2,True,True,325
36,17SBN-1819,"['social', 'welfare', 'attache', 'migrant', 'overseas']",Passed,0,0,0,0,1,1,0,0,0,1,SBN-1819,17,"an act establishing the office for social welfare attache, amending for the purpose republic act no. 8042, otherwise known as the migrant workers and overseas filipinos act of 1995, as amended, and for other purposes",5/24/18,National,Consolidated with Approved Bill,"Villanueva, Joel, Legarda, Loren B., Angara, Juan Edgardo ""Sonny"" M., Gatchalian, Sherwin T.",4/17/19,True,Joel Villanueva,Liberal,Majority,3,4,328,False,5,2,True,True,216
37,17SBN-1768,"['bed', 'capacity', 'governor', 'memorial', 'hospital', 'city', 'province', 'hundred']",Passed,0,0,1,0,0,0,0,1,0,0,SBN-1768,17,"an act increasing the bed capacity of governor celestino gallares memorial hospital (gcgmh) in tagbilaran city, province of bohol from two hundred twenty-five (225) to five hundred twenty-five (525) beds and upgrading its services and facilities, amending for the purpose republic act no. 7266, and appropriating funds therefor and for other purposes",3/21/18,National,Approved by the President of the Philippines,"Ejercito, Joseph Victor G.",4/17/19,True,JV Ejercito,NPC,Majority,6,1,392,True,3,1,True,True,350
38,17SBN-1766,"['pension', 'senior']",Passed,0,0,0,0,0,0,0,0,0,0,SBN-1766,17,an act increasing the monthly pension of senior veterans,3/21/18,National,Approved by the President of the Philippines,"Honasan II, Gregorio B.",12/20/18,True,Gringo Honasan II,UNA,Majority,23,1,274,False,3,1,True,True,56
39,17SBN-1762,"['retirement', 'system', 'ombudsman', 'employee']",Passed,1,1,0,0,1,0,0,0,0,0,SBN-1762,17,"an act establishing a retirement system in the office of the ombudsman, augmenting its employee benefits, and appropriating funds therefor",3/20/18,National,Consolidated with Approved Bill,"Poe, Grace L., Villanueva, Joel, Angara, Juan Edgardo ""Sonny"" M., Gordon, Richard J., Legarda, Loren B., Lacson, Panfilo M., Trillanes, Antonio ""Sonny"" F.",8/17/18,True,Grace Poe,Independent,Majority,5,7,150,False,3,1,True,True,138
40,17SBN-1753,"['social', 'security', 'commission', 'viability', 'social', 'security', 'system', 'social', 'security']",Passed,1,0,0,0,1,0,0,0,0,0,SBN-1753,17,"an act rationalizing and expanding the powers and duties of the social security commission to ensure the long-term viability of the social security system, further amending for the purpose republic act no. 1161, as amended by republic act no. 8282, otherwise known as the social security act of 1997",3/19/18,National,Approved by the President of the Philippines,"Recto, Ralph G., Villanueva, Joel, Trillanes, Antonio ""Sonny"" F., Villar, Cynthia A., Ejercito, Joseph Victor G., Binay, Maria Lourdes Nancy S., Legarda, Loren B., Escudero, Francis ""Chiz"" G., Poe, Grace L., Sotto III, Vicente C., Zubiri, Juan Miguel F., Gordon, Richard J., Gatchalian, Sherwin T.",2/7/19,True,Ralph Recto,Nacionalista,Majority,18,13,325,False,3,1,True,True,299
41,17SBN-1749,"['land', 'transportation', 'rest']",Passed,1,0,0,0,0,0,0,0,0,0,SBN-1749,17,"an act to improve land transportation terminals, stations, stops, rest areas and roll-on/roll-off terminals, appropriating funds therefor, and for other purposes",3/19/18,National,Approved by the President of the Philippines,"Poe, Grace L., Aquino IV, Paolo Benigno ""Bam""",4/17/19,True,Grace Poe,Independent,Majority,6,2,394,True,3,1,True,True,161
42,17SBN-1738,"['identification', 'system']",Passed,1,0,0,0,1,0,0,0,0,0,SBN-1738,17,an act establishing the philippine identification system,3/12/18,National,Consolidated with Approved Bill,"Drilon, Franklin M., Legarda, Loren B., Ejercito, Joseph Victor G., Villar, Cynthia A., Lacson, Panfilo M., Recto, Ralph G., Villanueva, Joel, Trillanes, Antonio ""Sonny"" F., Aquino IV, Paolo Benigno ""Bam"", Zubiri, Juan Miguel F., Gordon, Richard J., Pacquiao, Emmanuel ""Manny"" D., Angara, Juan Edgardo ""Sonny"" M., Gatchalian, Sherwin T.",8/6/18,True,Franklin Drilon,Liberal,Minority,23,14,147,False,3,1,True,False,56
43,17SBN-1717,"['basic', 'autonomous', 'region', 'organic', 'autonomous', 'region', 'organic', 'autonomous', 'region']",Passed,0,0,0,0,0,0,0,1,0,0,SBN-1717,17,"an act providing for the basic law for the bangsamoro and abolishing the autonomous region in muslim mindanao, repealing for the purpose republic act no. 9054, entitled an act to strengthen and expand the organic act for the autonomous region in muslim mindanao, and republic act no. 6734, entitled an act providing for an organic act for the autonomous region in muslim mindanao, and for other purposes",2/28/18,National,Consolidated with Approved Bill,"Pimentel, Aquilino Koko III L., Zubiri, Juan Miguel F., Hontiveros, Risa, Aquino IV, Paolo Benigno ""Bam"", Angara, Juan Edgardo ""Sonny"" M., Legarda, Loren B., Pangilinan, Francis N., De Lima, Leila M.",7/27/18,True,Koko Pimentel,PDP_Laban,Majority,8,8,149,False,2,1,True,True,403
44,17SBN-1716,"['sport', 'complex', 'amateur', 'sport', 'training', 'center', 'acquisition', 'property', 'construction', 'administration', 'maintenance', 'management']",Passed,1,0,0,0,0,1,0,0,1,0,SBN-1716,17,"an act creating and establishing a sports complex known as the philippine amateur sports training center, and funding for the acquisition of property, construction of facilities, including its administration, maintenance and management, and for other purposes",2/28/18,National,Consolidated with Approved Bill,"Angara, Juan Edgardo ""Sonny"" M., Aquino IV, Paolo Benigno ""Bam"", Pacquiao, Emmanuel ""Manny"" D., Villanueva, Joel",2/14/19,True,Eduardo Angara,LDP,Majority,15,4,351,False,2,1,True,True,259
