,Word,Weight
754,relative,2519
755,relationship,2518
756,relation,2517
757,related,2516
758,reinvestment,2515
759,reintroduction,2514
760,reintegration,2513
761,reinsurance,2512
762,reinforcement,2511
763,reimposition,2510
764,reimbursement,2509
765,rehabilitation,2508
766,rehabilitate,2507
767,regulatory,2506
768,regulator,2505
769,regulation,2504
770,regulate,2503
771,regularization,2502
772,regular,2501
773,reglementary,2500
774,registry,2499
775,registration,2498
776,registrar,2497
777,registered,2496
778,register,2495
779,regionalization,2494
780,regional,2493
781,region,2492
782,regime,2491
783,regenerative,2490
784,regenerate,2489
785,regardless,2488
786,regarding,2487
787,regard,2486
788,regalia,2485
789,refuse,2484
790,refusal,2483
791,refund,2482
792,refuge,2481
793,reformation,2480
794,reform,2479
795,reforestation,2478
796,referendum,2477
797,reference,2476
798,reef,2475
799,reduction,2474
800,reducing,2473
801,reduced,2472
802,redress,2471
803,redevelopment,2470
804,redemption,2469
805,recurrent,2468
806,rectification,2467
807,recruitment,2466
808,recreational,2465
809,recreation,2464
810,recovery,2463
811,recoverable,2462
812,recording,2461
813,record,2460
814,reconstruction,2459
815,reconstitution,2458
816,reconciliation,2457
817,recommendation,2456
818,recommend,2455
819,recognize,2454
820,recognizance,2453
821,recognition,2452
822,recodification,2451
823,reclusion,2450
824,reclassification,2449
825,reckless,2448
826,reciprocity,2447
827,recipient,2446
828,reception,2445
829,receivership,2444
830,receiver,2443
831,receipt,2442
832,recall,2441
833,rebuild,2440
834,rebate,2439
835,reasonable,2438
836,reason,2437
837,reapportionment,2436
838,reappointment,2435
839,realty,2434
840,reallocation,2433
841,realization,2432
842,realignment,2431
843,real,2430
844,reading,2429
845,reacquisition,2428
846,raw,2427
847,rationalization,2426
848,rational,2425
849,ratio,2424
850,rating,2423
851,rate,2422
852,rare,2421
853,rapid,2420
854,rape,2419
855,rank,2418
856,range,2417
857,random,2416
858,raising,2415
859,rainy,2414
860,railway,2413
861,railroad,2412
862,rail,2411
863,rage,2410
864,radius,2409
865,radiological,2408
866,radiologic,2407
867,radioactive,2406
868,radio,2405
869,radiation,2404
870,racketeer,2403
871,racing,2402
872,racial,2401
873,race,2400
874,rabies,2399
875,quota,2398
876,quest,2397
877,quasijudicial,2396
878,quarterly,2395
879,quarter,2394
880,quarrying,2393
881,quarry,2392
882,quarantine,2391
883,quantity,2390
884,quantitative,2389
885,quality,2388
886,qualified,2387
887,qualification,2386
888,pyrotechnic,2385
889,pyramid,2384
890,pursuant,2383
891,purse,2382
892,purchase,2381
893,punishment,2380
894,punishable,2379
895,pulmonary,2378
896,puericulture,2377
897,publisher,2376
898,publication,2375
899,public,2374
900,psychotechnical,2373
901,psychosocial,2372
902,psychosis,2371
903,psychometrics,2370
904,psychology,2369
905,psychological,2368
906,psychiatric,2367
907,proximate,2366
908,provisional,2365
909,provincial,2364
910,province,2363
911,provider,2362
912,provident,2361
913,protocol,2360
914,protector,2359
915,protective,2358
916,protection,2357
917,protecting,2356
918,protect,2355
919,prostitution,2354
920,prostate,2353
921,prospective,2352
922,prosecutor,2351
923,prosecution,2350
924,prosecute,2349
925,proposal,2348
926,proportional,2347
927,proportion,2346
928,prophylaxis,2345
929,property,2344
930,properly,2343
931,proper,2342
932,propagation,2341
933,propagate,2340
934,propaganda,2339
935,proof,2338
936,pronounce,2337
937,promulgation,2336
938,prompt,2335
939,promotional,2334
940,promotion,2333
941,promote,2332
942,proliferation,2331
943,project,2330
944,prohibition,2329
945,progressive,2328
946,progress,2327
947,profiteering,2326
948,profit,2325
949,professionalize,2324
950,professionalization,2323
951,professionalism,2322
952,professional,2321
953,profession,2320
954,productivity,2319
955,productive,2318
956,production,2317
957,product,2316
958,produce,2315
959,procurement,2314
960,proclamation,2313
961,process,2312
962,proceeds,2311
963,procedure,2310
964,problem,2309
965,probationary,2308
966,probation,2307
967,probable,2306
968,pro,2305
969,privilege,2304
970,private,2303
971,privacy,2302
972,prison,2301
973,priority,2300
974,prior,2299
975,printing,2298
976,print,2297
977,principle,2296
978,principal,2295
979,prime,2294
980,primary,2293
981,prima,2292
982,pride,2291
983,price,2290
984,previous,2289
985,preventive,2288
986,prevention,2287
987,preventable,2286
988,prevent,2285
989,prevalence,2284
990,presumption,2283
991,prestigious,2282
992,press,2281
993,preservation,2280
994,presentation,2279
995,present,2278
996,presence,2277
997,prescriptive,2276
998,prescription,2275
999,prescribe,2274
1000,preschool,2273
1001,prerequisite,2272
1002,prerelease,2271
1003,preregistration,2270
1004,preparedness,2269
1005,preparatory,2268
1006,preparation,2267
1007,prenatal,2266
1008,premium,2265
1009,premiere,2264
1010,premier,2263
1011,premature,2262
1012,preliminary,2261
1013,prekindergarten,2260
1014,pregnant,2259
1015,pregnancy,2258
1016,preferential,2257
1017,preference,2256
1018,predisaster,2255
1019,predictability,2254
1020,precious,2253
1021,precinct,2252
1022,preceding,2251
1023,prayer,2250
1024,prawn,2249
1025,practitioner,2248
1026,practice,2247
1027,practicable,2246
1028,powered,2245
1029,power,2244
1030,poverty,2243
1031,poultry,2242
1032,potential,2241
1033,potent,2240
1034,potable,2239
1035,posture,2238
1036,posttraumatic,2237
1037,posting,2236
1038,postgraduate,2235
1039,poster,2234
1040,postal,2233
1041,post,2232
1042,possible,2231
1043,possibility,2230
1044,possession,2229
1045,positive,2228
1046,position,2227
1047,portrayal,2226
1048,portion,2225
1049,portfolio,2224
1050,portable,2223
1051,portability,2222
1052,port,2221
1053,pornography,2220
1054,pornographic,2219
1055,pork,2218
1056,population,2217
1057,popularization,2216
1058,popular,2215
1059,pop,2214
1060,poor,2213
1061,pool,2212
1062,polyvinyl,2211
1063,polytechnic,2210
1064,polo,2209
1065,pollution,2208
1066,pollutant,2207
1067,polling,2206
1068,police,2205
1069,pole,2204
1070,poisoning,2203
1071,poison,2202
1072,point,2201
1073,pneumococcal,2200
1074,plunder,2199
1075,plumber,2198
1076,plight,2197
1077,pledge,2196
1078,plea,2195
1079,plaza,2194
1080,play,2193
1081,plate,2192
1082,plastic,2191
1083,planting,2190
1084,plant,2189
1085,plan,2188
1086,plain,2187
1087,placement,2186
1088,place,2185
1089,piracy,2184
1090,pipeline,2183
1091,pineapple,2182
1092,pilotage,2181
1093,pilot,2180
1094,pillage,2179
1095,pilferage,2178
1096,piercing,2177
1097,picture,2176
1098,physician,2175
1099,physical,2174
1100,photo,2173
1101,phone,2172
1102,phenomenon,2171
1103,pharmacy,2170
1104,pharmaceutical,2169
1105,petty,2168
1106,petroleum,2167
1107,petition,2166
1108,pet,2165
1109,pesticide,2164
1110,pest,2163
1111,pertinent,2162
1112,personnel,2161
1113,personality,2160
1114,personal,2159
1115,person,2158
1116,persistent,2157
1117,perpetual,2156
1118,permit,2155
1119,permission,2154
1120,permanent,2153
1121,perjury,2152
1122,perishable,2151
1123,peripheral,2150
1124,periodic,2149
1125,period,2148
1126,performance,2147
1127,perfection,2146
1128,percentage,2145
1129,percent,2144
1130,pepper,2143
1131,people,2142
1132,pension,2141
1133,penology,2140
1134,penitentiary,2139
1135,peninsula,2138
1136,penalty,2137
1137,pediatrician,2136
1138,pediatric,2135
1139,pedestrian,2134
1140,peddling,2133
1141,peaceful,2132
1142,peace,2131
1143,payroll,2130
1144,payment,2129
1145,pay,2128
1146,pawnshop,2127
1147,patroness,2126
1148,patrol,2125
1149,patrimony,2124
1150,patient,2123
1151,pathology,2122
1152,paternity,2121
1153,patent,2120
1154,past,2119
1155,passport,2118
1156,passenger,2117
1157,passage,2116
1158,partnership,2115
1159,particular,2114
1160,participatory,2113
1161,participation,2112
1162,partial,2111
1163,parole,2110
1164,parlor,2109
1165,parking,2108
1166,park,2107
1167,parity,2106
1168,parenthood,2105
1169,parental,2104
1170,parent,2103
1171,parcel,2102
1172,paralysis,2101
1173,paragraph,2100
1174,paper,2099
1175,pandemic,2098
1176,palsy,2097
1177,palliative,2096
1178,paint,2095
1179,pact,2094
1180,package,2093
1181,pack,2092
1182,pa,2091
1183,ozone,2090
1184,ownership,2089
1185,owner,2088
1186,overtime,2087
1187,oversight,2086
1188,overseas,2085
1189,overdue,2084
1190,overdose,2083
1191,overall,2082
1192,ovarian,2081
1193,outstanding,2080
1194,outside,2079
1195,outreach,2078
1196,outlet,2077
1197,outlay,2076
1198,outdoor,2075
1199,osteoporosis,2074
1200,orphan,2073
1201,original,2072
1202,origin,2071
1203,orientation,2070
1204,oriental,2069
1205,organizational,2068
1206,organization,2067
1207,organism,2066
1208,organic,2065
1209,organ,2064
1210,ore,2063
1211,oral,2062
1212,optometry,2061
1213,optional,2060
1214,option,2059
1215,optimum,2058
1216,optimize,2057
1217,optical,2056
1218,oppressive,2055
1219,opportunity,2054
1220,operational,2053
1221,operation,2052
1222,operating,2051
1223,operate,2050
1224,operability,2049
1225,opening,2048
1226,open,2047
1227,onion,2046
1228,onetime,2045
1229,omnibus,2044
1230,ombudsman,2043
1231,older,2042
1232,old,2041
1233,oil,2040
1234,offering,2039
1235,offer,2038
1236,offense,2037
1237,offender,2036
1238,odious,2035
1239,ocular,2034
1240,oceanic,2033
1241,ocean,2032
1242,occurrence,2031
1243,occupational,2030
1244,occupation,2029
1245,occupancy,2028
1246,occidental,2027
1247,occasion,2026
1248,obstruction,2025
1249,obstetrical,2024
1250,observation,2023
1251,observance,2022
1252,obscene,2021
1253,obligation,2020
1254,obesity,2019
1255,nutritional,2018
1256,nutrition,2017
1257,nutrient,2016
1258,nursing,2015
1259,nursery,2014
1260,nurse,2013
1261,number,2012
1262,nullity,2011
1263,nuisance,2010
1264,nuclear,2009
1265,novel,2008
1266,nourishment,2007
1267,notification,2006
1268,notifiable,2005
1269,notice,2004
1270,notable,2003
1271,nose,2002
1272,northwest,2001
1273,northern,2000
1274,north,1999
1275,normal,1998
1276,nonworking,1997
1277,nonverbal,1996
1278,nonteaching,1995
1279,nonstock,1994
1280,nonqualification,1993
1281,nonprofit,1992
1282,nonpayment,1991
1283,nonpatentable,1990
1284,nonobservance,1989
1285,nonnative,1988
1286,nonmobile,1987
1287,nonmetallic,1986
1288,nonmedical,1985
1289,nonlife,1984
1290,nonimmigrant,1983
1291,nongovernmental,1982
1292,nonformal,1981
1293,nonfiscal,1980
1294,noncumulative,1979
1295,nonconventional,1978
1296,noncompliance,1977
1297,noncommercial,1976
1298,noncombatant,1975
1299,nonapplication,1974
1300,nonagricultural,1973
1301,nominee,1972
1302,nomination,1971
1303,nominal,1970
1304,nomenclature,1969
1305,noise,1968
1306,node,1967
1307,nightwork,1966
1308,night,1965
1309,nicotine,1964
1310,newspaper,1963
1311,news,1962
1312,new,1961
1313,neuropsychiatric,1960
1314,network,1959
1315,net,1958
1316,nervous,1957
1317,neonatal,1956
1318,negotiation,1955
1319,negligence,1954
1320,neglect,1953
1321,negative,1952
1322,needy,1951
1323,need,1950
1324,necrophilia,1949
1325,necessity,1948
1326,necessary,1947
1327,near,1946
1328,navy,1945
1329,navigable,1944
1330,naval,1943
1331,naturopathy,1942
1332,naturopathic,1941
1333,nature,1940
1334,naturalization,1939
1335,natural,1938
1336,native,1937
1337,nationwide,1936
1338,nationalistic,1935
1339,nationalism,1934
1340,nation,1933
1341,nanny,1932
1342,mysterious,1931
1343,mutual,1930
1344,musician,1929
1345,musical,1928
1346,music,1927
1347,museum,1926
1348,murder,1925
1349,multinational,1924
1350,multilingual,1923
1351,multilateral,1922
1352,mulberry,1921
1353,movie,1920
1354,movement,1919
1355,mouth,1918
1356,motto,1917
1357,motorist,1916
1358,motorcycle,1915
1359,motor,1914
1360,motion,1913
1361,motherhood,1912
1362,mother,1911
1363,mosque,1910
1364,mortgage,1909
1365,mortality,1908
1366,moro,1907
1367,morgue,1906
1368,moratorium,1905
1369,morale,1904
1370,moral,1903
1371,monument,1902
1372,monoxide,1901
1373,monopoly,1900
1374,monitor,1899
1375,money,1898
1376,monetization,1897
1377,monetary,1896
1378,module,1895
1379,modification,1894
1380,modernization,1893
1381,modern,1892
1382,modeling,1891
1383,model,1890
1384,mode,1889
1385,mobilization,1888
1386,mobility,1887
1387,mobile,1886
1388,mitigation,1885
1389,mitigate,1884
1390,misuse,1883
1391,missing,1882
1392,miss,1881
1393,misleading,1880
1394,miscellaneous,1879
1395,misappropriation,1878
1396,minority,1877
1397,minor,1876
1398,mining,1875
1399,minimum,1874
1400,mineral,1873
1401,millennium,1872
1402,milk,1871
1403,military,1870
1404,migration,1869
1405,migrant,1868
1406,midwifery,1867
1407,midwife,1866
1408,microbiology,1865
1409,metropolitan,1864
1410,method,1863
1411,metallurgical,1862
1412,metallic,1861
1413,metal,1860
1414,message,1859
1415,mesa,1858
1416,merger,1857
1417,mere,1856
1418,merchant,1855
1419,merchandise,1854
1420,menu,1853
1421,mental,1852
1422,menstruation,1851
1423,menopause,1850
1424,men,1849
1425,memory,1848
1426,memorial,1847
1427,membership,1846
1428,member,1845
1429,meeting,1844
1430,medium,1843
1431,medicine,1842
1432,medical,1841
1433,mediation,1840
1434,medal,1839
1435,mechanization,1838
1436,mechanism,1837
1437,mechanic,1836
1438,meat,1835
1439,measurement,1834
1440,measure,1833
1441,meaningful,1832
1442,meaning,1831
1443,maximum,1830
1444,maximization,1829
1445,maturity,1828
1446,mature,1827
1447,matter,1826
1448,mathematics,1825
1449,math,1824
1450,maternity,1823
1451,maternal,1822
1452,material,1821
1453,matchmaking,1820
1454,master,1819
1455,massage,1818
1456,mass,1817
1457,martial,1816
1458,marsh,1815
1459,marrow,1814
1460,married,1813
1461,marriage,1812
1462,marking,1811
1463,marketing,1810
1464,market,1809
1465,maritime,1808
1466,marital,1807
1467,marine,1806
1468,marginal,1805
1469,map,1804
1470,manufacturer,1803
1471,manufacture,1802
1472,manual,1801
1473,manner,1800
1474,manipulation,1799
1475,mangrove,1798
1476,mango,1797
1477,mandatory,1796
1478,management,1795
1479,manage,1794
1480,malversation,1793
1481,maltreatment,1792
1482,malt,1791
1483,malpractice,1790
1484,malnutrition,1789
1485,malicious,1788
1486,malfeasance,1787
1487,malaria,1786
1488,making,1785
1489,major,1784
1490,maintenance,1783
1491,maintain,1782
1492,main,1781
1493,mail,1780
1494,maiden,1779
1495,magnetic,1778
1496,macular,1777
1497,machinery,1776
1498,machine,1775
1499,machination,1774
1500,lymphatic,1773
1501,lymph,1772
1502,luxurious,1771
1503,lupus,1770
1504,lung,1769
1505,lump,1768
1506,lumber,1767
1507,loyalty,1766
1508,lower,1765
1509,low,1764
1510,lotto,1763
1511,lot,1762
1512,loss,1761
1513,loom,1760
1514,longevity,1759
1515,long,1758
1516,lone,1757
1517,logo,1756
1518,logistics,1755
1519,logging,1754
1520,locking,1753
1521,location,1752
1522,locate,1751
1523,locality,1750
